transaction_id,customer_id,transaction_type,merchant_category,amount,transaction_date
TXN_000037,CUST_0001,EMI,Car Loan EMI,2951.8,2024-09-30
TXN_000038,CUST_0001,Travel,Car Rental,5371.4,2024-02-12
TXN_000039,CUST_0001,Dining,Restaurant,4335.59,2024-04-03
TXN_000040,CUST_0001,Travel,Travel Agency,1850.95,2024-06-16
TXN_000041,CUST_0001,Utility Bill,Phone,1398.5,2024-08-03
TXN_000042,CUST_0001,Shopping,Electronics,2356.83,2024-10-03
TXN_000043,CUST_0001,Travel,Travel Agency,735.22,2024-11-29
TXN_000044,CUST_0001,Travel,Airlines,1755.01,2024-01-11
TXN_000045,CUST_0001,EMI,Home Loan EMI,2173.65,2024-10-15
TXN_000046,CUST_0001,Investment,SIP Investment,7785.53,2024-03-26
TXN_000047,CUST_0002,Salary Credit,Employer Direct Deposit,11975.11,2024-01-01
TXN_000048,CUST_0002,Salary Credit,Employer Direct Deposit,11975.11,2024-02-01
TXN_000049,CUST_0002,Salary Credit,Employer Direct Deposit,11975.11,2024-03-03
TXN_000050,CUST_0002,Salary Credit,Employer Direct Deposit,11975.11,2024-03-31
TXN_000051,CUST_0002,Salary Credit,Employer Direct Deposit,11975.11,2024-05-04
TXN_000052,CUST_0002,Salary Credit,Employer Direct Deposit,11975.11,2024-05-30
TXN_000053,CUST_0002,Salary Credit,Employer Direct Deposit,11975.11,2024-07-01
TXN_000054,CUST_0002,Salary Credit,Employer Direct Deposit,11975.11,2024-08-02
TXN_000055,CUST_0002,Salary Credit,Employer Direct Deposit,11975.11,2024-09-02
TXN_000056,CUST_0002,Salary Credit,Employer Direct Deposit,11975.11,2024-09-30
TXN_000057,CUST_0002,Salary Credit,Employer Direct Deposit,11975.11,2024-10-30
TXN_000058,CUST_0002,Salary Credit,Employer Direct Deposit,11975.11,2024-12-01
TXN_000059,CUST_0002,Investment,Mutual Fund SIP,8390.43,2024-05-04
TXN_000060,CUST_0002,Grocery,Wholesale Club,3864.68,2024-12-16
TXN_000061,CUST_0002,Grocery,Wholesale Club,3915.35,2024-06-26
TXN_000062,CUST_0002,Rent,Office Rent,1206.87,2024-11-27
TXN_000063,CUST_0002,Utility Bill,Electricity,4249.38,2024-09-07
TXN_000064,CUST_0002,Grocery,Organic Store,4804.33,2024-11-21
TXN_000065,CUST_0002,Entertainment,Gaming,773.43,2024-03-31
TXN_000066,CUST_0002,Rent,Office Rent,3758.85,2024-09-04
TXN_000067,CUST_0002,Entertainment,Movie Theater,4130.42,2024-10-30
TXN_000068,CUST_0002,Shopping,Baby Store,4260.05,2024-02-14
TXN_000069,CUST_0002,Shopping,Home Decor,1226.88,2024-08-25
TXN_000070,CUST_0002,Dining,Cafe,153.21,2024-06-15
TXN_000071,CUST_0002,EMI,Car Loan EMI,2494.58,2024-06-23
TXN_000072,CUST_0002,Shopping,Online Marketplace,3508.91,2024-05-21
TXN_000073,CUST_0002,Rent,Apartment Rent,1573.17,2024-05-03
TXN_000074,CUST_0002,Dining,Cafe,2780.33,2024-05-03
TXN_000075,CUST_0002,Entertainment,Gaming,3562.09,2024-08-17
TXN_000076,CUST_0002,Travel,Airlines,3354.33,2024-05-04
TXN_000077,CUST_0002,Shopping,Online Marketplace,1851.41,2024-10-10
TXN_000078,CUST_0002,Rent,Office Rent,3237.81,2024-06-18
TXN_000079,CUST_0002,Utility Bill,Phone,1361.87,2024-05-08
TXN_000080,CUST_0002,Investment,Mutual Fund SIP,3497.71,2024-10-01
TXN_000081,CUST_0002,EMI,Home Loan EMI,1710.5,2024-10-28
TXN_000082,CUST_0002,Rent,Office Rent,3497.89,2024-05-31
TXN_000083,CUST_0002,Investment,Fixed Deposit,634.41,2024-09-30
TXN_000084,CUST_0002,EMI,Car Loan EMI,636.32,2024-05-29
TXN_000085,CUST_0002,EMI,Personal Loan EMI,1727.2,2024-01-07
TXN_000086,CUST_0002,Shopping,Home Decor,2398.78,2024-06-23
TXN_000087,CUST_0002,EMI,Home Loan EMI,2654.31,2024-02-28
TXN_000088,CUST_0002,Grocery,Organic Store,2463.82,2024-10-22
TXN_000089,CUST_0002,Travel,Hotels,4590.15,2024-06-04
TXN_000090,CUST_0002,Grocery,Supermarket,601.07,2024-08-01
TXN_000091,CUST_0002,Investment,SIP Investment,4705.85,2024-10-28
TXN_000092,CUST_0002,Dining,Cafe,2847.46,2024-01-31
TXN_000093,CUST_0003,Salary Credit,Employer Direct Deposit,4190.8,2024-01-02
TXN_000094,CUST_0003,Salary Credit,Employer Direct Deposit,4190.8,2024-02-05
TXN_000095,CUST_0003,Salary Credit,Employer Direct Deposit,4190.8,2024-03-02
TXN_000096,CUST_0003,Salary Credit,Employer Direct Deposit,4190.8,2024-04-02
TXN_000097,CUST_0003,Salary Credit,Employer Direct Deposit,4190.8,2024-05-05
TXN_000098,CUST_0003,Salary Credit,Employer Direct Deposit,4190.8,2024-05-30
TXN_000099,CUST_0003,Salary Credit,Employer Direct Deposit,4190.8,2024-06-30
TXN_000100,CUST_0003,Salary Credit,Employer Direct Deposit,4190.8,2024-07-30
TXN_000101,CUST_0003,Salary Credit,Employer Direct Deposit,4190.8,2024-08-29
TXN_000102,CUST_0003,Salary Credit,Employer Direct Deposit,4190.8,2024-10-01
TXN_000103,CUST_0003,Salary Credit,Employer Direct Deposit,4190.8,2024-10-27
TXN_000104,CUST_0003,Salary Credit,Employer Direct Deposit,4190.8,2024-11-27
TXN_000105,CUST_0003,Travel,Car Rental,4831.73,2024-05-29
TXN_000106,CUST_0003,Travel,Hotels,2405.2,2024-08-20
TXN_000107,CUST_0003,Grocery,Wholesale Club,1174.78,2024-05-15
TXN_000108,CUST_0003,Investment,SIP Investment,2635.69,2024-03-17
TXN_000109,CUST_0003,Shopping,Fashion,366.34,2024-03-25
TXN_000110,CUST_0003,Shopping,Online Marketplace,3747.3,2024-10-18
TXN_000111,CUST_0003,Shopping,Home Decor,630.52,2024-12-18
TXN_000112,CUST_0003,Shopping,Home Decor,4713.95,2024-09-13
TXN_000113,CUST_0003,Rent,Office Rent,2794.11,2024-08-09
TXN_000114,CUST_0003,Utility Bill,Internet,139.07,2024-04-27
TXN_000115,CUST_0003,Travel,Travel Agency,6152.25,2024-03-30
TXN_000116,CUST_0003,Entertainment,Gaming,3261.03,2024-05-22
TXN_000117,CUST_0003,EMI,Personal Loan EMI,2535.61,2024-02-16
TXN_000118,CUST_0003,Entertainment,Movie Theater,2047.66,2024-06-13
TXN_000119,CUST_0003,Grocery,Supermarket,1655.72,2024-12-21
TXN_000120,CUST_0003,Entertainment,Movie Theater,3316.29,2024-07-24
TXN_000121,CUST_0003,Rent,Apartment Rent,1943.55,2024-06-14
TXN_000122,CUST_0003,Grocery,Organic Store,4325.9,2024-01-01
TXN_000123,CUST_0003,Rent,Office Rent,1562.75,2024-07-04
TXN_000124,CUST_0003,Entertainment,Gaming,2215.78,2024-01-27
TXN_000125,CUST_0003,Investment,Fixed Deposit,9312.89,2024-08-12
TXN_000126,CUST_0003,Entertainment,Streaming Service,154.06,2024-11-18
TXN_000127,CUST_0003,Investment,Stock Brokerage,629.91,2024-07-27
TXN_000128,CUST_0003,Grocery,Supermarket,4961.36,2024-02-28
TXN_000129,CUST_0003,Entertainment,Streaming Service,3242.07,2024-03-19
TXN_000130,CUST_0003,Entertainment,Gaming,1466.39,2024-12-27
TXN_000131,CUST_0003,Shopping,Home Decor,4175.27,2024-08-29
TXN_000132,CUST_0003,Investment,SIP Investment,4144.07,2024-11-02
TXN_000133,CUST_0003,Rent,Apartment Rent,1828.74,2024-07-31
TXN_000134,CUST_0003,Utility Bill,Internet,4104.54,2024-05-24
TXN_000135,CUST_0003,Shopping,Online Marketplace,2903.82,2024-12-03
TXN_000136,CUST_0003,Entertainment,Streaming Service,2238.27,2024-09-04
TXN_000137,CUST_0003,Utility Bill,Internet,2764.07,2024-10-05
TXN_000138,CUST_0003,Dining,Cafe,4664.93,2024-04-06
TXN_000139,CUST_0004,Salary Credit,Employer Direct Deposit,7595.65,2024-01-04
TXN_000140,CUST_0004,Salary Credit,Employer Direct Deposit,7595.65,2024-01-31
TXN_000141,CUST_0004,Salary Credit,Employer Direct Deposit,7595.65,2024-03-03
TXN_000142,CUST_0004,Salary Credit,Employer Direct Deposit,7595.65,2024-04-05
TXN_000143,CUST_0004,Salary Credit,Employer Direct Deposit,7595.65,2024-05-03
TXN_000144,CUST_0004,Salary Credit,Employer Direct Deposit,7595.65,2024-06-04
TXN_000145,CUST_0004,Salary Credit,Employer Direct Deposit,11196.21,2024-07-02
TXN_000146,CUST_0004,Salary Credit,Employer Direct Deposit,9994.54,2024-08-03
TXN_000147,CUST_0004,Salary Credit,Employer Direct Deposit,10920.4,2024-09-02
TXN_000148,CUST_0004,Salary Credit,Employer Direct Deposit,11349.77,2024-09-30
TXN_000149,CUST_0004,Salary Credit,Employer Direct Deposit,11313.32,2024-10-28
TXN_000150,CUST_0004,Salary Credit,Employer Direct Deposit,10259.35,2024-11-30
TXN_000151,CUST_0004,Utility Bill,Electricity,4372.21,2024-08-13
TXN_000152,CUST_0004,Grocery,Wholesale Club,4553.1,2024-01-08
TXN_000153,CUST_0004,EMI,Car Loan EMI,2924.89,2024-02-08
TXN_000154,CUST_0004,Entertainment,Movie Theater,1699.42,2024-12-20
TXN_000155,CUST_0004,Dining,Food Delivery,410.77,2024-06-17
TXN_000156,CUST_0004,Rent,Office Rent,2880.4,2024-09-06
TXN_000157,CUST_0004,Rent,Apartment Rent,1704.31,2024-12-16
TXN_000158,CUST_0004,Shopping,Fashion,3736.36,2024-08-10
TXN_000159,CUST_0004,Grocery,Wholesale Club,3522.42,2024-02-21
TXN_000160,CUST_0004,Entertainment,Streaming Service,3473.07,2024-01-15
TXN_000161,CUST_0004,Travel,Travel Agency,2488.27,2024-07-10
TXN_000162,CUST_0004,Dining,Restaurant,1228.55,2024-07-29
TXN_000163,CUST_0004,EMI,Home Loan EMI,2023.73,2024-07-14
TXN_000164,CUST_0004,Investment,SIP Investment,1859.62,2024-08-24
TXN_000165,CUST_0004,Shopping,Home Decor,1284.08,2024-01-05
TXN_000166,CUST_0004,Entertainment,Movie Theater,3391.28,2024-03-21
TXN_000167,CUST_0004,Grocery,Organic Store,4726.73,2024-10-27
TXN_000168,CUST_0004,Shopping,Home Decor,3454.66,2024-08-21
TXN_000169,CUST_0004,Shopping,Fashion,4996.87,2024-09-04
TXN_000170,CUST_0004,Grocery,Supermarket,1913.01,2024-07-02
TXN_000171,CUST_0004,Shopping,Baby Store,119.48,2024-12-03
TXN_000172,CUST_0004,Dining,Cafe,50.41,2024-12-17
TXN_000173,CUST_0004,Travel,International Travel,6696.14,2024-05-26
TXN_000174,CUST_0004,Investment,Fixed Deposit,2306.25,2024-05-08
TXN_000175,CUST_0004,EMI,Personal Loan EMI,2068.65,2024-01-21
TXN_000176,CUST_0004,Shopping,Home Decor,176.49,2024-07-05
TXN_000177,CUST_0004,EMI,Home Loan EMI,1316.8,2024-07-31
TXN_000178,CUST_0004,EMI,Home Loan EMI,1848.52,2024-07-06
TXN_000179,CUST_0004,Rent,Office Rent,1770.91,2024-09-03
TXN_000180,CUST_0004,Shopping,Baby Store,4023.12,2024-08-27
TXN_000181,CUST_0004,Grocery,Supermarket,3773.22,2024-04-25
TXN_000182,CUST_0004,Dining,Food Delivery,1835.22,2024-07-21
TXN_000183,CUST_0004,Travel,Travel Agency,3747.33,2024-12-10
TXN_000184,CUST_0004,Shopping,Online Marketplace,1911.32,2024-11-22
TXN_000185,CUST_0004,Utility Bill,Electricity,3377.43,2024-08-29
TXN_000186,CUST_0004,Travel,International Travel,4578.98,2024-11-08
TXN_000187,CUST_0004,Investment,Mutual Fund SIP,4910.54,2024-12-24
TXN_000188,CUST_0005,Salary Credit,Employer Direct Deposit,4400.11,2024-01-01
TXN_000189,CUST_0005,Salary Credit,Employer Direct Deposit,4400.11,2024-01-31
TXN_000190,CUST_0005,Salary Credit,Employer Direct Deposit,4400.11,2024-03-03
TXN_000191,CUST_0005,Salary Credit,Employer Direct Deposit,4400.11,2024-04-03
TXN_000192,CUST_0005,Salary Credit,Employer Direct Deposit,4400.11,2024-04-30
TXN_000193,CUST_0005,Salary Credit,Employer Direct Deposit,4400.11,2024-05-30
TXN_000194,CUST_0005,Salary Credit,Employer Direct Deposit,4400.11,2024-06-30
TXN_000195,CUST_0005,Salary Credit,Employer Direct Deposit,4400.11,2024-08-02
TXN_000196,CUST_0005,Salary Credit,Employer Direct Deposit,4400.11,2024-08-29
TXN_000197,CUST_0005,Salary Credit,Employer Direct Deposit,4400.11,2024-09-30
TXN_000198,CUST_0005,Salary Credit,Employer Direct Deposit,4400.11,2024-10-30
TXN_000199,CUST_0005,Salary Credit,Employer Direct Deposit,4400.11,2024-11-28
TXN_000200,CUST_0005,Rent,Office Rent,3179.8,2024-07-31
TXN_000201,CUST_0005,Grocery,Organic Store,3082.1,2024-05-23
TXN_000202,CUST_0005,Travel,Travel Agency,3668.63,2024-04-30
TXN_000203,CUST_0005,Utility Bill,Electricity,4904.83,2024-07-07
TXN_000204,CUST_0005,Rent,Office Rent,1827.64,2024-03-03
TXN_000205,CUST_0005,Entertainment,Streaming Service,3317.22,2024-11-24
TXN_000206,CUST_0005,Travel,Airlines,2099.84,2024-03-05
TXN_000207,CUST_0005,Investment,Mutual Fund SIP,5764.97,2024-10-27
TXN_000208,CUST_0005,Investment,Stock Brokerage,1901.76,2024-11-01
TXN_000209,CUST_0005,Travel,Travel Agency,1328.57,2024-03-07
TXN_000210,CUST_0005,Rent,Office Rent,1329.78,2024-01-14
TXN_000211,CUST_0005,EMI,Home Loan EMI,2471.08,2024-10-28
TXN_000212,CUST_0005,Utility Bill,Electricity,879.49,2024-01-27
TXN_000213,CUST_0005,EMI,Personal Loan EMI,784.12,2024-02-02
TXN_000214,CUST_0005,Entertainment,Movie Theater,3892.31,2024-09-19
TXN_000215,CUST_0005,Grocery,Organic Store,2524.16,2024-11-10
TXN_000216,CUST_0005,Travel,International Travel,5218.06,2024-01-16
TXN_000217,CUST_0005,Travel,Car Rental,3524.93,2024-02-25
TXN_000218,CUST_0005,Entertainment,Gaming,4549.41,2024-02-07
TXN_000219,CUST_0005,Grocery,Organic Store,3045.4,2024-02-03
TXN_000220,CUST_0005,EMI,Car Loan EMI,1963.41,2024-12-30
TXN_000221,CUST_0005,Utility Bill,Phone,4973.19,2024-09-28
TXN_000222,CUST_0005,Shopping,Home Decor,2532.7,2024-08-08
TXN_000223,CUST_0005,Grocery,Wholesale Club,580.93,2024-12-01
TXN_000224,CUST_0006,Salary Credit,Employer Direct Deposit,9616.02,2024-01-02
TXN_000225,CUST_0006,Salary Credit,Employer Direct Deposit,9616.02,2024-02-03
TXN_000226,CUST_0006,Salary Credit,Employer Direct Deposit,9616.02,2024-03-04
TXN_000227,CUST_0006,Salary Credit,Employer Direct Deposit,9616.02,2024-04-01
TXN_000228,CUST_0006,Salary Credit,Employer Direct Deposit,9616.02,2024-05-03
TXN_000229,CUST_0006,Salary Credit,Employer Direct Deposit,9616.02,2024-06-01
TXN_000230,CUST_0006,Salary Credit,Employer Direct Deposit,9616.02,2024-07-02
TXN_000231,CUST_0006,Salary Credit,Employer Direct Deposit,9616.02,2024-08-01
TXN_000232,CUST_0006,Salary Credit,Employer Direct Deposit,9616.02,2024-08-31
TXN_000233,CUST_0006,Salary Credit,Employer Direct Deposit,9616.02,2024-10-02
TXN_000234,CUST_0006,Salary Credit,Employer Direct Deposit,9616.02,2024-10-27
TXN_000235,CUST_0006,Salary Credit,Employer Direct Deposit,9616.02,2024-11-28
TXN_000236,CUST_0006,Dining,Cafe,3328.89,2024-07-10
TXN_000237,CUST_0006,EMI,Personal Loan EMI,667.83,2024-02-13
TXN_000238,CUST_0006,Grocery,Organic Store,491.86,2024-07-09
TXN_000239,CUST_0006,EMI,Personal Loan EMI,2891.56,2024-10-14
TXN_000240,CUST_0006,Utility Bill,Electricity,2059.94,2024-12-06
TXN_000241,CUST_0006,Dining,Food Delivery,266.72,2024-05-27
TXN_000242,CUST_0006,Shopping,Baby Store,526.97,2024-09-16
TXN_000243,CUST_0006,Investment,Stock Brokerage,2630.33,2024-02-25
TXN_000244,CUST_0006,Utility Bill,Internet,583.28,2024-05-22
TXN_000245,CUST_0006,Investment,SIP Investment,9758.19,2024-11-14
TXN_000246,CUST_0006,Rent,Apartment Rent,2973.49,2024-12-21
TXN_000247,CUST_0006,Shopping,Electronics,910.28,2024-12-25
TXN_000248,CUST_0006,Shopping,Baby Store,1761.61,2024-04-02
TXN_000249,CUST_0006,EMI,Personal Loan EMI,673.96,2024-11-20
TXN_000250,CUST_0006,Travel,Airlines,1878.04,2024-08-02
TXN_000251,CUST_0006,Entertainment,Movie Theater,795.47,2024-06-08
TXN_000252,CUST_0006,Utility Bill,Electricity,4417.88,2024-03-20
TXN_000253,CUST_0006,EMI,Personal Loan EMI,703.95,2024-08-14
TXN_000254,CUST_0006,Dining,Cafe,3039.31,2024-07-31
TXN_000255,CUST_0006,Shopping,Fashion,3777.17,2024-02-28
TXN_000256,CUST_0006,Utility Bill,Phone,563.34,2024-12-13
TXN_000257,CUST_0006,Entertainment,Gaming,3338.99,2024-01-24
TXN_000258,CUST_0006,Investment,SIP Investment,1020.43,2024-04-14
TXN_000259,CUST_0006,Shopping,Fashion,3839.07,2024-05-10
TXN_000260,CUST_0006,Shopping,Baby Store,608.72,2024-09-11
TXN_000261,CUST_0006,Dining,Restaurant,654.64,2024-09-29
TXN_000262,CUST_0006,Investment,Fixed Deposit,8686.76,2024-01-22
TXN_000263,CUST_0006,Dining,Restaurant,2304.17,2024-02-09
TXN_000264,CUST_0006,Utility Bill,Phone,2871.26,2024-12-29
TXN_000265,CUST_0006,Dining,Cafe,584.72,2024-01-11
TXN_000266,CUST_0006,Utility Bill,Water,4008.6,2024-11-12
TXN_000267,CUST_0006,Entertainment,Gaming,4599.65,2024-02-15
TXN_000268,CUST_0006,Dining,Restaurant,1224.15,2024-10-28
TXN_000269,CUST_0006,Dining,Food Delivery,402.45,2024-06-07
TXN_000270,CUST_0006,Utility Bill,Water,1672.01,2024-03-27
TXN_000271,CUST_0007,Salary Credit,Employer Direct Deposit,4368.32,2024-01-05
TXN_000272,CUST_0007,Salary Credit,Employer Direct Deposit,4368.32,2024-02-01
TXN_000273,CUST_0007,Salary Credit,Employer Direct Deposit,4368.32,2024-03-03
TXN_000274,CUST_0007,Salary Credit,Employer Direct Deposit,4368.32,2024-04-02
TXN_000275,CUST_0007,Salary Credit,Employer Direct Deposit,4368.32,2024-05-05
TXN_000276,CUST_0007,Salary Credit,Employer Direct Deposit,4368.32,2024-06-04
TXN_000277,CUST_0007,Salary Credit,Employer Direct Deposit,4368.32,2024-06-30
TXN_000278,CUST_0007,Salary Credit,Employer Direct Deposit,4368.32,2024-07-30
TXN_000279,CUST_0007,Salary Credit,Employer Direct Deposit,4368.32,2024-08-28
TXN_000280,CUST_0007,Salary Credit,Employer Direct Deposit,4368.32,2024-09-28
TXN_000281,CUST_0007,Salary Credit,Employer Direct Deposit,4368.32,2024-10-29
TXN_000282,CUST_0007,Salary Credit,Employer Direct Deposit,4368.32,2024-11-27
TXN_000283,CUST_0007,EMI,Personal Loan EMI,2397.88,2024-02-08
TXN_000284,CUST_0007,EMI,Personal Loan EMI,2386.11,2024-10-23
TXN_000285,CUST_0007,Entertainment,Gaming,4621.53,2024-10-16
TXN_000286,CUST_0007,Utility Bill,Internet,763.28,2024-02-04
TXN_000287,CUST_0007,Entertainment,Movie Theater,3160.61,2024-05-20
TXN_000288,CUST_0007,Travel,Travel Agency,2621.18,2024-08-19
TXN_000289,CUST_0007,Travel,Airlines,2439.2,2024-11-26
TXN_000290,CUST_0007,Grocery,Wholesale Club,2974.46,2024-07-15
TXN_000291,CUST_0007,Entertainment,Gaming,2776.04,2024-01-22
TXN_000292,CUST_0007,Entertainment,Gaming,3262.67,2024-06-13
TXN_000293,CUST_0007,Entertainment,Gaming,762.8,2024-02-01
TXN_000294,CUST_0007,Entertainment,Streaming Service,4056.72,2024-06-24
TXN_000295,CUST_0007,Grocery,Wholesale Club,3234.17,2024-01-21
TXN_000296,CUST_0007,Investment,SIP Investment,5478.65,2024-11-08
TXN_000297,CUST_0007,EMI,Car Loan EMI,1207.23,2024-07-28
TXN_000298,CUST_0007,Utility Bill,Electricity,3948.24,2024-11-27
TXN_000299,CUST_0007,Utility Bill,Electricity,1655.16,2024-10-12
TXN_000300,CUST_0008,Salary Credit,Employer Direct Deposit,6023.95,2024-01-06
TXN_000301,CUST_0008,Salary Credit,Employer Direct Deposit,6023.95,2024-02-04
TXN_000302,CUST_0008,Salary Credit,Employer Direct Deposit,6023.95,2024-03-02
TXN_000303,CUST_0008,Salary Credit,Employer Direct Deposit,6023.95,2024-04-02
TXN_000304,CUST_0008,Salary Credit,Employer Direct Deposit,6023.95,2024-04-30
TXN_000305,CUST_0008,Salary Credit,Employer Direct Deposit,6023.95,2024-06-03
TXN_000306,CUST_0008,Salary Credit,Employer Direct Deposit,6023.95,2024-07-04
TXN_000307,CUST_0008,Salary Credit,Employer Direct Deposit,6023.95,2024-07-30
TXN_000308,CUST_0008,Salary Credit,Employer Direct Deposit,6023.95,2024-08-30
TXN_000309,CUST_0008,Salary Credit,Employer Direct Deposit,6023.95,2024-09-29
TXN_000310,CUST_0008,Salary Credit,Employer Direct Deposit,6023.95,2024-11-01
TXN_000311,CUST_0008,Salary Credit,Employer Direct Deposit,6023.95,2024-12-01
TXN_000312,CUST_0008,Dining,Restaurant,2979.26,2024-02-13
TXN_000313,CUST_0008,Shopping,Online Marketplace,1889.63,2024-06-17
TXN_000314,CUST_0008,EMI,Personal Loan EMI,2867.77,2024-12-16
TXN_000315,CUST_0008,Rent,Apartment Rent,2270.22,2024-07-04
TXN_000316,CUST_0008,Travel,Travel Agency,7619.12,2024-06-23
TXN_000317,CUST_0008,Entertainment,Streaming Service,1140.45,2024-03-11
TXN_000318,CUST_0008,EMI,Home Loan EMI,2470.3,2024-09-16
TXN_000319,CUST_0008,Rent,Apartment Rent,3629.18,2024-11-12
TXN_000320,CUST_0008,EMI,Personal Loan EMI,905.62,2024-12-20
TXN_000321,CUST_0008,EMI,Personal Loan EMI,1527.15,2024-12-12
TXN_000322,CUST_0008,Investment,SIP Investment,7647.72,2024-08-17
TXN_000323,CUST_0008,Investment,Stock Brokerage,8181.93,2024-08-28
TXN_000324,CUST_0008,Investment,Fixed Deposit,5918.98,2024-08-13
TXN_000325,CUST_0008,Entertainment,Movie Theater,3892.84,2024-09-14
TXN_000326,CUST_0008,Rent,Office Rent,3450.67,2024-11-05
TXN_000327,CUST_0008,EMI,Car Loan EMI,1701.48,2024-07-09
TXN_000328,CUST_0008,Rent,Apartment Rent,2547.73,2024-03-04
TXN_000329,CUST_0008,Shopping,Electronics,3817.95,2024-05-19
TXN_000330,CUST_0008,Entertainment,Gaming,745.27,2024-08-11
TXN_000331,CUST_0008,Grocery,Supermarket,4085.35,2024-06-27
TXN_000332,CUST_0008,Travel,Car Rental,4115.66,2024-04-30
TXN_000333,CUST_0008,Dining,Restaurant,1880.81,2024-01-15
TXN_000334,CUST_0008,Utility Bill,Electricity,4197.49,2024-11-28
TXN_000335,CUST_0008,Utility Bill,Water,696.62,2024-05-26
TXN_000336,CUST_0008,Entertainment,Gaming,4157.24,2024-12-27
TXN_000337,CUST_0008,Entertainment,Movie Theater,3080.59,2024-02-10
TXN_000338,CUST_0008,Travel,Travel Agency,1366.25,2024-11-07
TXN_000339,CUST_0008,Rent,Office Rent,1864.3,2024-06-03
TXN_000340,CUST_0008,Grocery,Supermarket,1199.81,2024-11-23
TXN_000341,CUST_0008,Entertainment,Streaming Service,563.18,2024-09-12
TXN_000342,CUST_0008,Rent,Apartment Rent,2725.14,2024-03-14
TXN_000343,CUST_0008,Shopping,Home Decor,17.81,2024-06-29
TXN_000344,CUST_0008,Investment,SIP Investment,6848.04,2024-09-25
TXN_000345,CUST_0008,Utility Bill,Electricity,4767.48,2024-10-05
TXN_000346,CUST_0008,Rent,Apartment Rent,2410.41,2024-11-21
TXN_000347,CUST_0008,Dining,Cafe,1275.71,2024-01-09
TXN_000348,CUST_0009,Salary Credit,Employer Direct Deposit,7137.63,2024-01-06
TXN_000349,CUST_0009,Salary Credit,Employer Direct Deposit,7137.63,2024-02-05
TXN_000350,CUST_0009,Salary Credit,Employer Direct Deposit,7137.63,2024-03-06
TXN_000351,CUST_0009,Salary Credit,Employer Direct Deposit,7137.63,2024-03-31
TXN_000352,CUST_0009,Salary Credit,Employer Direct Deposit,7137.63,2024-05-04
TXN_000353,CUST_0009,Salary Credit,Employer Direct Deposit,7137.63,2024-06-04
TXN_000354,CUST_0009,Salary Credit,Employer Direct Deposit,7137.63,2024-07-01
